date,predicted_mean
2024-01-01,650451.2569189096
2024-01-02,639811.6035230972
2024-01-03,641799.6754143226
2024-01-04,644530.9249440607
2024-01-05,642817.9371360587
2024-01-06,658053.2838690741
2024-01-07,656466.2793686363
2024-01-08,657801.540716625
2024-01-09,645800.4851796043
2024-01-10,649623.5112742857
2024-01-11,653891.5179479521
2024-01-12,651518.5192138901
2024-01-13,669448.6003530582
2024-01-14,668229.4565723657
2024-01-15,668787.1981524286
2024-01-16,657206.7986128795
2024-01-17,660462.8485397536
2024-01-18,664256.0181546524
2024-01-19,662086.9538312132
2024-01-20,679184.398614283
2024-01-21,677851.5908636821
2024-01-22,678649.5754992757
2024-01-23,666939.1989658087
2024-01-24,670370.436833312
2024-01-25,674310.3246546932
2024-01-26,672078.24736625
2024-01-27,689432.9654824841
2024-01-28,688135.2783558925
